<<<<<<< HEAD
Year,Player,Position,Salary,Inflation
2020,Stephen Curry, PG,40231758,40231758
2020,Chris Paul, PG,38506482,38506482
2020,Russell Westbrook, PG,38506482,38506482
2020,John Wall, PG,38199000,38199000
2020,Kevin Durant, SF,38199000,38199000
2020,James Harden, SG,38199000,38199000
2020,LeBron James, SF,37436858,37436858
2020,Kyle Lowry, PG,34996296,34996296
2020,Blake Griffin, PF,34449964,34449964
2020,Tobias Harris, SF,32742000,32742000
2020,Jimmy Butler, SF,32742000,32742000
2020,Kawhi Leonard, SF,32742000,32742000
2020,Klay Thompson, SG,32742000,32742000
2020,Kemba Walker, PG,32742000,32742000
2020,Gordon Hayward, SF,32700690,32700690
2020,Mike Conley, PG,32511624,32511624
2020,Kyrie Irving, PG,31742000,31742000
2020,Khris Middleton, SF,30603448,30603448
2020,Paul George, SG,30560700,30560700
2020,Paul Millsap, PF,30350000,30350000
2020,Damian Lillard, PG,29802321,29802321
2020,Kevin Love, PF,28942830,28942830
2020,Al Horford, PF,28000000,28000000
2020,Nikola Vucevic, C,28000000,28000000
2020,DeMar DeRozan, SF,27739975,27739975
2020,CJ McCollum, SG,27556959,27556959
2020,Joel Embiid, C,27504630,27504630
2020,Andrew Wiggins, SF,27504630,27504630
2020,Nikola Jokic, C,27504630,27504630
2020,Devin Booker, SG,27285000,27285000
2020,D'Angelo Russell, SG,27285000,27285000
2020,Karl-Anthony Towns, C,27285000,27285000
2020,Kristaps Porzingis, PF,27285000,27285000
2020,Otto Porter Jr., SF,27250575,27250575
2020,Bradley Beal, SG,27093019,27093019
2020,Andre Drummond, C,27093019,27093019
2020,Anthony Davis, PF,27093018,27093018
2020,Hassan Whiteside, C,27093017,27093017
2020,Jrue Holiday, SG,26231111,26231111
2020,LaMarcus Aldridge, PF,26000000,26000000
2020,Steven Adams, C,25842697,25842697
2020,Giannis Antetokounmpo, PF,25842697,25842697
2020,Marc Gasol, C,25595700,25595700
2020,Nicolas Batum, SG,25565217,25565217
2020,Chandler Parsons, SF,25102511,25102511
2020,Harrison Barnes, SF,24147727,24147727
2020,Serge Ibaka, C,23271604,23271604
2020,Rudy Gobert, C,23241573,23241573
2020,Danilo Gallinari, PF,22615559,22615559
2020,Victor Oladipo, SG,21000000,21000000
2020,Tim Hardaway Jr., SG,20025127,20025127
2020,Malcolm Brogdon, PG,20000000,20000000
2020,Terry Rozier, PG,19894737,19894737
2020,Aaron Gordon, PF,19863636,19863636
2020,Zach LaVine, PG,19500000,19500000
2020,Kent Bazemore, SG,19269662,19269662
2020,Goran Dragic, PG,19217900,19217900
2020,Jeff Teague, PG,19000000,19000000
2020,Evan Turner, SG,18606556,18606556
2020,Draymond Green, PF,18539130,18539130
2020,Tristan Thompson, C,18539130,18539130
2020,Allen Crabbe, G,18500000,18500000
2020,Julius Randle, PF,18000000,18000000
2020,Myles Turner, C,18000000,18000000
2020,Gary Harris, SG,17839286,17839286
2020,Derrick Favors, C,17650000,17650000
2020,Andre Iguodala, SG,17185185,17185185
2020,Evan Fournier, SG,17150000,17150000
2020,Bismack Biyombo, C,17000000,17000000
2020,Bojan Bogdanovic, SF,17000000,17000000
2020,Timofey Mozgov, C,16720000,16720000
2020,Gorgui Dieng, C,16229213,16229213
2020,Ricky Rubio, PG,16200000,16200000
2020,Jonas Valanciunas, C,16000000,16000000
2020,JR Smith, SG,15680000,15680000
2020,Brandon Knight, PG,15643750,15643750
2020,Kelly Oubre Jr., SF,15625000,15625000
2020,Eric Bledsoe, PG,15625000,15625000
2020,Dennis Schroder, PG,15500000,15500000
2020,Ian Mahinmi, C,15450051,15450051
2020,James Johnson, PF,15349400,15349400
2020,Bobby Portis, PF,15000000,15000000
2020,Marcus Morris Sr., SF,15000000,15000000
2020,Clint Capela, C,14896552,14896552
2020,Luke Babbitt, F,14651700,14651700
2020,Danny Green, SG,14634146,14634146
2020,Rudy Gay, SF,14500000,14500000
2020,Cody Zeller, C,14471910,14471910
2020,Eric Gordon, SG,14057730,14057730
2020,Mason Plumlee, PF,14041096,14041096
2020,Marcin Gortat, C,13565218,13565218
2020,JJ Redick, SG,13486300,13486300
2020,Jordan Clarkson, PG,13437500,13437500
2020,Dewayne Dedmon, C,13333333,13333333
2020,Jusuf Nurkic, C,13125000,13125000
2020,Justise Winslow, SF,13000000,13000000
2020,Thaddeus Young, PF,12900000,12900000
2020,Will Barton, SF,12776786,12776786
2020,Courtney Lee, SG,12759670,12759670
2020,Solomon Hill, SF,12758781,12758781
2020,Larry Nance Jr., PF,12727273,12727273
2020,Kelly Olynyk, PF,12667885,12667885
2020,Marcus Smart, PG,12553571,12553571
2020,Miles Plumlee, C,12500000,12500000
2020,Terrence Ross, SG,12500000,12500000
2020,Nikola Mirotic, F,12500000,12500000
2020,Patty Mills, PG,12428571,12428571
2020,Tyreke Evans, G,12400000,12400000
2020,Patrick Beverley, PG,12345680,12345680
2020,Trevor Ariza, SF,12195122,12195122
2020,Brook Lopez, C,12093023,12093023
2020,Cory Joseph, PG,12000000,12000000
2020,Joe Ingles, SG,11954546,11954546
2020,Zach Randolph, F,11692308,11692308
2020,Tony Snell, SF,11392857,11392857
2020,Robert Covington, PF,11301219,11301219
2020,Meyers Leonard, C,11286516,11286516
2020,Omer Asik, C,11286516,11286516
2020,Maurice Harkless, SF,11011234,11011234
2020,T.J. Warren, SF,10810000,10810000
2020,Andre Roberson, SG,10740740,10740740
2020,Spencer Dinwiddie, PG,10605600,10605600
2020,Jeremy Lamb, SG,10500000,10500000
2020,Dwight Powell, C,10259375,10259375
2020,Norman Powell, SG,10116576,10116576
2020,Josh Richardson, SG,10116576,10116576
2020,Darren Collison, G,10000000,10000000
2020,Tomas Satoransky, SG,10000000,10000000
2020,DeAndre Jordan, C,9881598,9881598
2020,Zion Williamson, SF,9757440,9757440
2020,Markelle Fultz, PG,9745200,9745200
2020,John Henson, PF,9732396,9732396
2020,Matthew Dellavedova, PG,9607500,9607500
2020,Dante Exum, PG,9600000,9600000
2020,Deandre Ayton, C,9562920,9562920
2020,Delon Wright, PG,9473684,9473684
2020,Fred VanVleet, SG,9346153,9346153
2020,Jerami Grant, PF,9346153,9346153
2020,Tyus Jones, PG,9258000,9258000
2020,Al-Farouq Aminu, PF,9258000,9258000
2020,George Hill, PG,9133907,9133907
2020,Kyle Anderson, SF,9073050,9073050
2020,Taj Gibson, C,9000000,9000000
2020,Ja Morant, PG,8730240,8730240
2020,Lonzo Ball, PG,8719320,8719320
2020,E'Twaun Moore, SG,8664928,8664928
2020,Marvin Bagley III, PF,8556120,8556120
2020,Bogdan Bogdanovic, SG,8529386,8529386
2020,P.J. Tucker, PF,8349039,8349039
2020,C.J. Miles, SG,8333333,8333333
2020,Cristiano Felicio, PF,8156500,8156500
2020,Ben Simmons, PG,8113930,8113930
2020,Kentavious Caldwell-Pope, SG,8089282,8089282
2020,Thomas Bryant, C,8000000,8000000
2020,Elfrid Payton, PG,8000000,8000000
2020,Wayne Ellington, SG,8000000,8000000
2020,Lou Williams, SG,8000000,8000000
2020,Maxi Kleber, PF,8000000,8000000
2020,RJ Barrett, SG,7839960,7839960
2020,Jayson Tatum, PF,7830000,7830000
2020,Jae Crowder, SF,7815533,7815533
2020,Luka Doncic, SG,7683360,7683360
2020,Joe Harris, SF,7666667,7666667
2020,Darrell Arthur, F,7464912,7464912
2020,Seth Curry, SG,7461380,7461380
2020,Doug McDermott, SF,7333333,7333333
2020,Langston Galloway, SG,7333333,7333333
2020,Derrick Rose, PG,7317073,7317073
2020,Brandon Ingram, SF,7265485,7265485
2020,D.J. Augustin, PG,7250000,7250000
2020,Lance Thomas, SF,7119650,7119650
2020,De'Andre Hunter, SF,7068360,7068360
2020,Josh Jackson, SG,7059480,7059480
2020,Davis Bertans, SF,7000000,7000000
2020,Ersan Ilyasova, PF,7000000,7000000
2020,Darius Miller, SF,7000000,7000000
2020,Jaren Jackson Jr., PF,6927480,6927480
2020,Nemanja Bjelica, PF,6825000,6825000
2020,Jaylen Brown, SG,6534829,6534829
2020,Jabari Parker, PF,6500000,6500000
2020,Ivica Zubac, C,6481482,6481482
2020,Darius Garland, PG,6400920,6400920
2020,De'Aaron Fox, PG,6392760,6392760
2020,Milos Teodosic, G,6300000,6300000
2020,Trae Young, PG,6273000,6273000
2020,Wesley Johnson, F,6134520,6134520
2020,Ish Smith, PG,6000000,6000000
2020,Montrezl Harrell, PF,6000000,6000000
2020,Marco Belinelli, SG,5846154,5846154
2020,Jarrett Culver, SG,5813640,5813640
2020,Jonathan Isaac, PF,5806440,5806440
2020,Rodney Hood, SF,5718000,5718000
2020,Jonathon Simmons, G,5700000,5700000
2020,Mo Bamba, C,5697600,5697600
2020,Trey Lyles, C,5500000,5500000
2020,Alex Abrines, G,5455236,5455236
2020,Aron Baynes, C,5453280,5453280
2020,Jason Smith, F,5450000,5450000
2020,Kris Dunn, PG,5348007,5348007
2020,Coby White, PG,5307120,5307120
2020,Lauri Markkanen, PF,5300400,5300400
2020,Alexis Ajinca, C,5285394,5285394
2020,Wendell Carter Jr., C,5201400,5201400
2020,Dirk Nowitzki, F,5000000,5000000
2020,Daniel Theis, C,5000000,5000000
2020,Kyle Singler, F,4996000,4996000
2020,Jaxson Hayes, C,4862040,4862040
2020,Buddy Hield, SG,4861208,4861208
2020,Frank Ntilikina, PG,4855800,4855800
2020,Rodney McGruder, SG,4807693,4807693
2020,Ed Davis, C,4767000,4767000
2020,Richaun Holmes, C,4767000,4767000
2020,Frank Kaminsky, C,4767000,4767000
2020,Mike Scott, PF,4767000,4767000
2020,Garrett Temple, SG,4767000,4767000
2020,Robin Lopez, C,4767000,4767000
2020,Avery Bradley, PG,4767000,4767000
2020,JaMychal Green, PF,4767000,4767000
2020,Justin Holiday, SF,4767000,4767000
2020,Enes Kanter, C,4767000,4767000
2020,Collin Sexton, PG,4764960,4764960
2020,Rui Hachimura, PF,4469160,4469160
2020,Kevon Looney, PF,4464226,4464226
2020,Dennis Smith Jr., PG,4463640,4463640
2020,Jamal Murray, PG,4444746,4444746
2020,Kevin Knox II, SF,4380120,4380120
2020,Luc Mbah a Moute, PF,4320500,4320500
2020,Cam Reddish, SG,4245720,4245720
2020,Zach Collins, PF,4240200,4240200
2020,Mikal Bridges, SF,4161000,4161000
2020,Alex Len, C,4160000,4160000
2020,Nicolo Melli, PF,4102564,4102564
2020,Cameron Johnson, SF,4033440,4033440
2020,Malik Monk, SG,4028400,4028400
2020,Patrick McCaw, SF,4000000,4000000
2020,Reggie Bullock, SF,4000000,4000000
2020,JaVale McGee, C,4000000,4000000
2020,Dorian Finney-Smith, SF,4000000,4000000
2020,Shai Gilgeous-Alexander, SG,3952920,3952920
2020,PJ Washington, PF,3831840,3831840
2020,Luke Kennard, SG,3827160,3827160
2020,Miles Bridges, SF,3755400,3755400
2020,Jakob Poeltl, C,3754886,3754886
2020,Tyler Herro, SG,3640200,3640200
2020,Donovan Mitchell, SG,3635760,3635760
2020,Stanley Johnson, SF,3623000,3623000
2020,Jake Layman, SF,3581986,3581986
2020,Thon Maker, C,3569643,3569643
2020,Jerome Robinson, SG,3567720,3567720
2020,Allonzo Trier, G,3551000,3551000
2020,Danuel House Jr., SF,3540000,3540000
2020,Domantas Sabonis, PF,3529555,3529555
2020,Michael Beasley, F,3500000,3500000
2020,DeMarcus Cousins, C,3500000,3500000
2020,T.J. McConnell, PG,3500000,3500000
2020,Boban Marjanovic, C,3500000,3500000
2020,Dario Saric, PF,3481986,3481986
2020,Taurean Prince, PF,3481986,3481986
2020,Romeo Langford, SG,3458400,3458400
2020,Bam Adebayo, PF,3454080,3454080
2020,Michael Porter Jr., PF,3389400,3389400
2020,Denzel Valentine, SG,3377569,3377569
2020,Juan Hernangomez, PF,3321030,3321030
2020,Sekou Doumbouya, SF,3285120,3285120
2020,Justin Jackson, SF,3280920,3280920
2020,Troy Brown Jr., SF,3219480,3219480
2020,Yogi Ferrell, PG,3150000,3150000
2020,Zhaire Smith, SG,3058800,3058800
2020,Khem Birch, PF,3000000,3000000
2020,Quinn Cook, PG,3000000,3000000
2020,Ryan Arcidiacono, PG,3000000,3000000
2020,Nickeil Alexander-Walker, SG,2964840,2964840
2020,D.J. Wilson, PF,2961120,2961120
2020,Cedi Osman, SF,2907143,2907143
2020,Donte DiVincenzo, SG,2905800,2905800
2020,Bryn Forbes, SG,2875000,2875000
2020,Goga Bitadze, C,2816760,2816760
2020,T.J. Leaf, PF,2813280,2813280
2020,Alex Caruso, SG,2750000,2750000
2020,Malik Beasley, SG,2731714,2731714
2020,Luka Samanic, PF,2689920,2689920
2020,Lonnie Walker IV, SG,2689920,2689920
2020,John Collins, PF,2686560,2686560
2020,Kevin Huerter, SG,2636280,2636280
2020,Caris LeVert, SG,2625718,2625718
2020,Marko Guduric, SG,2625000,2625000
2020,DeAndre' Bembry, SG,2603982,2603982
2020,Matisse Thybulle, SG,2582160,2582160
2020,Harry Giles III, C,2578800,2578800
2020,Wesley Matthews, SG,2564753,2564753
2020,Rajon Rondo, PG,2564753,2564753
2020,Nene Hilario, C,2564753,2564753
2020,Josh Okogie, SF,2530680,2530680
2020,Vincent Poirier, C,2505793,2505793
2020,Rondae Hollis-Jefferson, SF,2500000,2500000
2020,Manu Ginobili, G,2500000,2500000
2020,Brandon Clarke, SF,2478840,2478840
2020,Terrance Ferguson, SF,2475840,2475840
2020,Emeka Okafor, C,2445085,2445085
2020,Kendrick Perkins, C,2445085,2445085
2020,Grayson Allen, SG,2429400,2429400
2020,Grant Williams, PF,2379840,2379840
2020,Jarrett Allen, C,2376840,2376840
2020,Pascal Siakam, PF,2351839,2351839
2020,Skal Labissiere, PF,2338847,2338847
2020,Chandler Hutchison, SF,2332320,2332320
2020,Aaron Holiday, PG,2329200,2329200
2020,Dejounte Murray, PG,2321735,2321735
2020,Damian Jones, C,2305057,2305057
2020,Darius Bazley, SF,2284800,2284800
2020,OG Anunoby, SF,2281800,2281800
2020,Ante Zizic, C,2281800,2281800
2020,Luke Kornet, C,2250000,2250000
2020,Brandon Jennings, G,2222803,2222803
2020,Ty Jerome, SG,2193480,2193480
2020,Willie Cauley-Stein, C,2177483,2177483
2020,Anfernee Simons, SG,2149560,2149560
2020,Austin Rivers, PG,2147317,2147317
2020,Nassir Little, SF,2105520,2105520
2020,Moritz Wagner, SF,2063520,2063520
2020,Sean Kilpatrick, G,2054856,2054856
2020,Dylan Windler, SG,2035800,2035800
2020,Caleb Swanigan, PF,2033160,2033160
2020,Mike Muscala, PF,2028594,2028594
2020,Ben McLemore, SF,2028594,2028594
2020,Edmond Sumner, PG,2000000,2000000
2020,Noah Vonleh, PF,2000000,2000000
2020,Torrey Craig, SF,2000000,2000000
2020,Landry Shamet, SG,1995120,1995120
2020,Mfiondu Kabengele, PF,1977000,1977000
2020,Kyle Kuzma, PF,1974600,1974600
2020,Jordan Poole, SG,1964760,1964760
2020,Tony Bradley, C,1962360,1962360
2020,Keldon Johnson, SF,1950600,1950600
2020,Derrick White, PG,1948080,1948080
2020,Robert Williams III, C,1937520,1937520
2020,Jacob Evans, SG,1925880,1925880
2020,Dzanan Musa, SG,1911600,1911600
2020,Omari Spellman, PF,1897800,1897800
2020,James Ennis III, SF,1882867,1882867
2020,Shabazz Napier, PG,1845301,1845301
2020,Bruno Caboclo, SF,1845301,1845301
2020,DeAndre Liggins, G,1795015,1795015
2020,Markieff Morris, PF,1750000,1750000
2020,Mario Hezonja, SF,1737145,1737145
2020,Cameron Payne, PG,1737145,1737145
2020,Pat Connaughton, SG,1723050,1723050
2020,Jahlil Okafor, C,1702486,1702486
2020,Rodions Kurucs, SF,1699236,1699236
2020,Jonah Bolden, PF,1698450,1698450
2020,Cheick Diallo, PF,1678854,1678854
2020,Dragan Bender, F,1678854,1678854
2020,Willy Hernangomez, C,1676735,1676735
2020,Julyan Stone, G,1656092,1656092
2020,MarShon Brooks, G,1656092,1656092
2020,Josh Hart, SF,1655160,1655160
2020,Georges Niang, SF,1645357,1645357
2020,Derrick Jones Jr., SF,1645357,1645357
2020,Christian Wood, PF,1645357,1645357
2020,Jordan McRae, SG,1645357,1645357
2020,Treveon Graham, SG,1645357,1645357
2020,Isaiah Taylor, G,1620564,1620564
2020,Emmanuel Mudiay, PG,1620564,1620564
2020,Nerlens Noel, C,1620564,1620564
2020,Tyler Lydon, F,1620564,1620564
2020,Furkan Korkmaz, SG,1620564,1620564
2020,Glenn Robinson III, SF,1620564,1620564
2020,Raul Neto, PG,1620564,1620564
2020,Kyle O'Quinn, C,1620564,1620564
2020,Alec Burks, SG,1620564,1620564
2020,Michael Carter-Williams, PG,1620564,1620564
2020,Wilson Chandler, SF,1620564,1620564
2020,Kyle Korver, SG,1620564,1620564
2020,Udonis Haslem, PF,1620564,1620564
2020,Jared Dudley, SF,1620564,1620564
2020,Dwight Howard, C,1620564,1620564
2020,Isaiah Thomas, PG,1620564,1620564
2020,Patrick Patterson, PF,1620564,1620564
2020,JaKarr Sampson, SF,1620564,1620564
2020,Ryan Anderson, PF,1620564,1620564
2020,Thabo Sefolosha, SF,1620564,1620564
2020,Tyson Chandler, C,1620564,1620564
2020,Justin Patton, C,1620564,1620564
2020,Tim Frazier, PG,1620564,1620564
2020,Joe Johnson, G,1620564,1620564
2020,Gerald Green, SG,1620564,1620564
2020,Trey Burke, PG,1620564,1620564
2020,J.J. Barea, PG,1620564,1620564
2020,Jarell Martin, F,1620564,1620564
2020,Jordan Bell, PF,1620564,1620564
2020,Shaquille Harrison, PG,1620564,1620564
2020,Vince Carter, G,1620564,1620564
2020,Dwayne Bacon, SG,1618520,1618520
2020,Dillon Brooks, SG,1618520,1618520
2020,Royce O'Neale, SF,1618520,1618520
2020,Abdel Nader, SF,1618520,1618520
2020,Damyean Dotson, SG,1618520,1618520
2020,Sterling Brown, SG,1618520,1618520
2020,Frank Jackson, PG,1618520,1618520
2020,Semi Ojeleye, PF,1618520,1618520
2020,Wes Iwundu, SF,1618420,1618420
2020,Dwight Buycks, G,1600520,1600520
2020,Mitchell Robinson, C,1599712,1599712
2020,Chris Boucher, PF,1588231,1588231
2020,Malcolm Miller, SG,1588231,1588231
2020,Monte Morris, PG,1588231,1588231
2020,Antonio Blakeney, G,1588231,1588231
2020,Tyrone Wallace, SG,1588231,1588231
2020,Malachi Richardson, G,1569360,1569360
2020,Georgios Papagiannis, C,1544951,1544951
2020,Chinanu Onuaku, C,1544951,1544951
2020,Wade Baldwin IV, G,1544951,1544951
2020,Isaiah Whitehead, G,1544951,1544951
2020,Paul Zipser, F,1544951,1544951
2020,Amile Jefferson, PF,1529007,1529007
2020,Omri Casspi, F,1512601,1512601
2020,Lorenzo Brown, G,1512601,1512601
2020,Isaiah Canaan, G,1512601,1512601
2020,Dwyane Wade, G,1512601,1512601
2020,Nigel Williams-Goss, PG,1500000,1500000
2020,Isaiah Roby, SF,1500000,1500000
2020,Alfonzo McKinnie, SF,1500000,1500000
2020,Shake Milton, SG,1455697,1455697
2020,Wenyen Gabriel, PF,1445697,1445697
2020,Theo Pinson, SG,1445697,1445697
2020,Thanasis Antetokounmpo, SF,1445697,1445697
2020,Derrick Walton Jr., G,1445697,1445697
2020,Brad Wanamaker, PG,1445697,1445697
2020,Iman Shumpert, SG,1419138,1419138
2020,Devonte' Graham, PG,1416852,1416852
2020,De'Anthony Melton, SG,1416852,1416852
2020,Jemerrio Jones, F,1416852,1416852
2020,Hamidou Diallo, SG,1416852,1416852
2020,Deonte Burton, SG,1416852,1416852
2020,Chimezie Metu, PF,1416852,1416852
2020,Gary Trent Jr., SG,1416852,1416852
2020,Elie Okobo, SF,1416852,1416852
2020,Jevon Carter, PG,1416852,1416852
2020,Ryan Broekhoff, SG,1416852,1416852
2020,Melvin Frazier Jr., SG,1416852,1416852
2020,Jarred Vanderbilt, PF,1416852,1416852
2020,Duncan Robinson, SG,1416852,1416852
2020,Kendrick Nunn, SG,1416852,1416852
2020,Alize Johnson, PF,1416852,1416852
2020,Isaiah Hartenstein, F,1416852,1416852
2020,Bruce Brown, SG,1416852,1416852
2020,Khyri Thomas, SG,1416852,1416852
2020,Sviatoslav Mykhailiuk, SG,1416852,1416852
2020,Keita Bates-Diop, SF,1416852,1416852
2020,Jalen Brunson, PG,1416852,1416852
2020,Kenrich Williams, SF,1416852,1416852
2020,Dairis Bertans, G,1416852,1416852
2020,Yante Maten, F,1416852,1416852
2020,Isaac Bonga, SF,1416842,1416842
2020,Tarik Phillip, G,1416842,1416842
2020,Jaylen Nowell, SG,1400000,1400000
2020,Bruno Fernando, C,1400000,1400000
2020,Dakari Johnson, C,1378242,1378242
2020,Kyle Collinsworth, G,1378242,1378242
2020,Brandon Paul, G,1378242,1378242
2020,Jaylen Morris, G,1378242,1378242
2020,Rodney Purvis, G,1378242,1378242
2020,David Stockton, G,1378242,1378242
2020,Ike Anigbogu, C,1378242,1378242
2020,Zhou Qi, C,1378242,1378242
2020,Aaron Jackson, F,1378242,1378242
2020,Carmelo Anthony, PF,1364204,1364204
2020,Jabari Bird, G,1349464,1349464
2020,Ben Moore, F,1349383,1349383
2020,James Nunnally, G,1349383,1349383
2020,Kevin Porter Jr., SG,1290960,1290960
2020,Carsen Edwards, PG,1228026,1228026
2020,Okaro White, F,1187862,1187862
2020,Cody Martin, SF,1173310,1173310
2020,Gary Payton II, PG,1052909,1052909
2020,Nick Young, G,1042584,1042584
2020,Admiral Schofield, SG,1000000,1000000
2020,Terance Mann, SG,1000000,1000000
2020,Ron Baker, G,948580,948580
2020,David Nwaba, SG,903111,903111
2020,Jalen McDaniels, PF,898310,898310
2020,Caleb Martin, SF,898310,898310
2020,Dewan Hernandez, C,898310,898310
2020,Terence Davis, SG,898310,898310
2020,Matt Thomas, SG,898310,898310
2020,Justin Robinson, PG,898310,898310
2020,Miye Oni, SG,898310,898310
2020,Stanton Kidd, SF,898310,898310
2020,Justin James, SG,898310,898310
2020,Jalen Lecque, PG,898310,898310
2020,Ignas Brazdeikis, SF,898310,898310
2020,Nicolas Claxton, PF,898310,898310
2020,Naz Reid, C,898310,898310
2020,KZ Okpala, SF,898310,898310
2020,Talen Horton-Tucker, SG,898310,898310
2020,Alen Smailagic, PF,898310,898310
2020,Eric Paschall, PF,898310,898310
